idx,abs_rel,sq_rel,rms,log_rms,a1,a2,a3
497,0.09835355,0.06515933,62.24648,1.2046604,95.72260767116114,98.27857049352009,98.9511061657285
498,0.06854199,0.008565927,36.32793,0.09038648,98.64501953125,99.9542236328125,100.0
499,0.0747491,0.018110028,50.35382,1.8721497,97.0540964698319,98.43439786715071,98.63860684100062
500,0.16170049,0.75204605,76.95007,0.25564668,85.53878553878553,93.4149281975369,97.40564957956262
501,0.21147017,5.906042,71.1536,5.1066527,84.57479059531562,85.56735757113022,86.59810019986077
502,0.33378652,94.678986,69.04186,3.5150945,81.16087530444159,87.51742986223437,89.91391972037853
503,0.22931291,24.741966,107.83992,3.5485501,84.43437708194537,89.2711525649567,91.13657561625584
504,0.24004659,7.1970425,97.52076,3.5400822,82.4571296747238,90.1930125855484,91.75403070771281
505,0.05669419,0.009797235,47.418655,0.117837004,96.649169921875,99.1119384765625,99.63226318359375
506,0.23340897,23.596088,60.499996,3.2539172,75.80140354969771,90.73890476468188,92.85783713380378
507,0.0741421,0.03919195,37.023113,2.0932617,94.57358876297562,96.66907527184928,97.46039019403958
508,0.052831415,0.006626929,36.23295,0.14390154,96.91619873046875,99.36676025390625,99.91607666015625
509,0.11149156,0.031245613,66.872765,0.21954232,88.1072998046875,96.307373046875,98.12164306640625
510,0.117948584,0.032876715,68.46023,0.1631988,85.58197021484375,97.71575927734375,99.3804931640625
511,0.20773165,88.48639,54.192696,4.022806,77.0540340488527,84.99074759437454,87.86084381939304
512,0.23963755,0.5091304,108.03432,0.25352237,66.00744674357566,93.66721601660257,97.87737288652872
513,0.17629254,0.04934097,97.64791,0.27327636,80.49774169921875,94.87457275390625,98.4771728515625
514,0.07300486,0.045749985,43.961502,1.297691,96.91314697265625,97.5555419921875,97.69439697265625
515,0.07339698,0.013099601,39.536793,0.112668686,93.218994140625,99.42474365234375,99.749755859375
516,0.11938167,0.06397122,61.224255,0.23806724,86.25030517578125,96.92535400390625,98.43902587890625
517,0.22611438,0.62058884,83.60277,4.2841864,77.24412599112533,80.88673892485633,84.89670473557868
518,0.24758221,95.29863,59.313587,2.5610812,82.98525558293247,94.59892838984707,95.65685009190817
519,0.16919118,0.06780519,106.040504,0.23631474,77.69317626953125,92.34466552734375,98.4710693359375
520,0.099415764,0.017939955,38.816616,0.15208258,90.3564453125,99.6856689453125,99.969482421875
521,0.22946747,0.13753128,84.95339,1.2146668,67.7490234375,83.5540771484375,92.51251220703125
522,0.10748261,9.655953,53.643097,1.8915058,93.95637165422637,97.07939491424337,97.89810413692143
523,0.25130677,234.60942,79.074326,2.2582982,82.34189859465417,93.53127583356297,95.72023973546432
524,0.13595472,0.117446445,100.72483,0.22821796,89.41802978515625,96.3958740234375,97.49298095703125
525,0.13651069,0.030744253,37.859715,0.17473489,84.1461181640625,99.11651611328125,99.99237060546875
526,0.29809818,18.066835,52.923405,3.3550434,80.95296703296704,84.7032967032967,87.06637362637363
527,0.1435982,0.045994572,78.996666,0.2155337,86.419677734375,96.7132568359375,98.37188720703125
528,0.18697499,5.931908,52.750267,0.9419689,87.21670253193535,97.65578499152969,98.81415686094958
529,0.11362854,0.023325378,62.27722,0.36193857,88.37127685546875,96.624755859375,98.89984130859375
530,0.1452797,0.028887695,102.79859,0.20111305,91.59393310546875,99.56207275390625,99.92523193359375
531,0.19243892,0.121926636,46.96081,3.268959,71.03183080538346,82.593768120365,86.8007446516312
532,0.04925154,0.005674998,24.22322,0.14733791,97.296142578125,99.5086669921875,99.8565673828125
533,0.23662542,0.35206494,115.36674,0.89356744,77.49931316584755,95.27305473305046,97.70444763271162
534,0.9878564,10451.939,59.606438,3.364037,83.08837132813946,86.18414290706518,87.92114621662178
535,0.10007696,0.023420807,37.186535,0.13422517,92.46368408203125,98.2818603515625,100.0
536,0.10239759,0.018360104,45.99452,0.16142301,92.62847900390625,98.63739013671875,99.3438720703125
537,0.27778015,1387.329,67.91127,2.8412843,93.47642020281579,94.45111745594171,94.9827705031013
538,0.17071697,1.0296239,71.64445,0.7429179,81.51034874265461,94.4903877134572,97.30886662472959
539,0.11017248,0.031910677,55.78753,0.23125629,83.25042724609375,96.807861328125,99.0478515625
540,0.108863875,0.06987772,59.7199,0.19991754,89.5660400390625,97.31292724609375,98.26507568359375
541,0.20722063,65.58212,56.384247,3.3311956,88.06580882974586,91.50504725993811,93.14181363182902
542,1.5171735,19.336374,815.78345,2.003953,1.5927172582619338,6.941554467564259,22.636168910648717
543,0.2605689,0.108395025,106.71575,0.23997216,60.9527587890625,92.46063232421875,98.04840087890625
544,0.1548723,0.08074412,93.39202,0.20741765,83.1024169921875,96.32720947265625,98.3612060546875
545,0.30184126,60.92059,97.29752,3.9604933,74.65442883998674,88.66305429614066,90.93221276125179
546,0.20515166,32.129726,116.11528,1.1558998,80.71962818184616,96.34953368832528,98.30865831512205
547,0.12669146,0.058052402,47.823647,0.22851603,82.77587890625,95.3125,97.5799560546875
548,0.12162816,0.09174282,57.101456,0.25555366,81.6680908203125,94.2779541015625,97.52197265625
549,0.10780238,0.021071613,48.556732,0.15422726,87.47406005859375,99.82452392578125,99.97406005859375
550,0.13691169,22.67141,46.74396,1.7384235,94.79946457785931,96.98411911490093,98.12767504503165
551,0.12992536,0.027885027,88.85348,0.17266952,79.144287109375,98.0224609375,99.73907470703125
552,0.20412801,13.500407,48.995647,3.1952796,88.62111240160021,91.89734159246355,93.2797780358756
553,0.2508621,0.1632794,113.3285,1.2772291,44.2901611328125,92.40570068359375,95.7275390625
554,0.15418386,0.11955915,53.4668,4.0939384,83.74810812881967,86.46473935283638,88.43611701821943
555,0.24347049,459.5348,63.079517,1.4835606,84.03375737664078,95.97496224094172,97.76871214362455
556,0.2381759,0.17621478,56.05315,1.8451438,72.13835421977318,84.77706714697845,92.11759498114877
557,0.17887269,0.72134507,75.69749,2.7479193,84.39586032704072,92.62436240179758,94.56298896196552
558,0.4969787,2447.3943,64.78457,2.8567805,82.87505581187676,89.30830480726299,92.60678672421491
559,0.21683332,36.939674,43.106667,2.0226064,88.8420801282598,96.75768791253773,97.38534222510276
560,0.2685669,0.20569623,140.21419,0.28620097,63.8763427734375,92.40570068359375,95.4925537109375
561,0.14579515,8.888038,35.361317,2.4044955,83.22541282056328,95.50866972386783,96.92377334724162
562,0.2862348,1.7446802,82.19538,1.4841832,70.66321730950142,89.1000313577924,93.45876450297898
563,0.26712608,0.101495184,158.01717,0.21369527,48.2086181640625,93.02825927734375,99.34844970703125
564,0.14761215,0.04130143,103.9572,0.20920196,82.63702392578125,98.70758056640625,99.36676025390625
565,0.10502301,0.016536687,69.865135,0.16290192,92.376708984375,98.89373779296875,99.93133544921875
566,0.57035613,114.515816,69.68668,1.7090456,67.46350512138075,84.51004113234937,92.22517944995565
567,0.71521735,383.4027,109.3736,3.9721787,71.98272298917087,81.8260725799785,85.62246838059023
568,0.17879891,0.096588574,38.48836,4.0450406,77.68832162481742,84.6838700702511,89.08151909299575
569,0.41261747,200.45163,69.36371,2.6589167,63.59787061043524,81.84342543301167,89.64914164736204
570,0.5588367,75.69463,74.07368,2.9996803,68.5467428724222,83.73441625722785,86.61887095156924
571,0.32861426,18.677475,51.342724,5.4125166,79.76529694061188,82.59223155368926,84.49872525494901
572,0.06260645,0.0067764944,57.137882,0.11368334,98.53363037109375,99.97100830078125,100.0
573,0.0751434,0.013246745,60.39619,0.14995219,93.90106201171875,98.78997802734375,99.5513916015625
574,0.101220824,0.018313348,36.786144,0.14083596,90.9423828125,99.75433349609375,99.98016357421875
575,0.20273225,0.19388284,62.208157,4.8173904,78.7109202410618,85.32951593234716,87.84617287877985
576,0.26587257,19.4764,51.57729,2.0161498,69.29754232322921,89.99352431465664,94.5665916309476
577,0.2527471,16.555422,88.9495,2.0784853,77.84649761586498,91.25551144185305,94.49753606128924
578,0.36058125,1.0347035,115.335686,6.621222,61.02446848445552,74.0657953110603,77.73777428932192
579,0.12236541,1.5151899,68.84616,2.2060108,87.40513392857143,95.82217261904762,97.15587797619048
580,0.41015574,1010.9115,74.969635,3.1662235,83.16393136889221,90.04880019893075,92.58205893323387
581,0.12697579,0.037840888,38.855045,0.31099775,74.84893798828125,92.20733642578125,96.65069580078125
582,0.30842006,69.1317,66.87706,2.7252505,82.3018099796446,90.7025361720856,93.63114558691386
583,0.23856471,14.616675,66.52868,2.633515,85.51707723432106,89.71115757977593,91.76314581527005
584,0.2102158,0.10012678,83.78415,0.27174926,76.922607421875,89.0716552734375,96.74530029296875
585,0.19302931,10.460098,68.30483,2.8654437,77.25339763261726,85.88557650153442,91.92021043402016
586,0.09538968,0.17845386,56.262363,0.5044646,91.42507645259938,95.97400611620796,98.04434250764525
587,0.5409154,44.951237,97.59948,3.009416,38.194898626553304,84.70241988227599,91.13799869195553
588,0.25222042,587.73676,58.39826,1.9358817,82.1067775441481,91.14824593299923,94.91881807977487
589,0.1416121,0.74326694,44.888,1.6498647,83.59784123120285,94.29880050606153,96.64974456704515
